KPI,No battery,Perfect foresight,Forecast (Prophet)
Total cost,561.15,240.57 (-57.1 %),367.88 (-34.4 %)
Regret vs perfect foresight (% of no-battery cost),—,0.00 (+0.0 %),127.31 (+22.7 %)
Energy bought (kWh),4018.0,2048.8 (-49.0 %),2783.5 (-30.7 %)
Energy sold (kWh),3862.8,1670.3 (-56.8 %),2383.4 (-38.3 %)
