KPI,No battery,Perfect foresight,Forecast (Prophet)
Total cost,610.41,393.37 (-35.6 %),495.08 (-18.9 %)
Regret vs perfect foresight (% of no-battery cost),—,0.00 (+0.0 %),101.71 (+16.7 %)
Energy bought (kWh),3270.6,2518.6 (-23.0 %),3311.6 (+1.3 %)
Energy sold (kWh),1022.8,141.5 (-86.2 %),958.3 (-6.3 %)
