KPI,No battery,Perfect foresight,Forecast (Prophet)
Total cost,791.67,546.39 (-31.0 %),629.71 (-20.5 %)
Regret vs perfect foresight (% of no-battery cost),—,0.00 (+0.0 %),83.32 (+10.5 %)
Energy bought (kWh),3740.4,3585.6 (-4.1 %),3844.6 (+2.8 %)
Energy sold (kWh),285.4,9.6 (-96.6 %),284.7 (-0.2 %)
