KPI,No battery,Perfect foresight,Forecast (Prophet)
Total cost,610.41,393.37 (-35.6 %),483.34 (-20.8 %)
Regret vs perfect foresight (% of no-battery cost),—,0.00 (+0.0 %),89.98 (+14.7 %)
Energy bought (kWh),3270.6,2518.6 (-23.0 %),3240.7 (-0.9 %)
Energy sold (kWh),1022.8,141.5 (-86.2 %),836.1 (-18.2 %)
