KPI,No battery,Perfect foresight,Forecast (Prophet)
Total cost,563.77,402.63 (-28.6 %),439.73 (-22.0 %)
Regret vs perfect foresight (% of no-battery cost),—,0.00 (+0.0 %),37.10 (+6.6 %)
Energy bought (kWh),3185.0,2589.9 (-18.7 %),2788.5 (-12.4 %)
Energy sold (kWh),821.9,124.6 (-84.8 %),350.4 (-57.4 %)
