Dataset,Household,Tariff,Strategy,Horizon,Execution,SOC_Mode,Cost_EUR,Savings_EUR,No_Battery_EUR,Energy_EUR,Power_EUR,Final_SOC_kWh,Charged_kWh,Discharged_kWh,Grid_Charged_kWh,Curtailed_kWh,Import_kWh,Export_kWh,Peak_Import_kW,Equivalent_Full_Cycles,N_Solves,SOC_Drift_kWh,Runtime_s,Paket_ID,Peak_Reset,Agreed_Power
Fluvius_HP_EV,1,Dinamični,day_block,day,block,fixed50,1232.0750106940643,644.8010421670265,1876.8760528610908,826.9665903399904,1.7325505654999998,15.000000013763161,9717.015506084972,8769.606497729354,9717.015506084972,0.0,15897.285002084493,4805.334993728999,21.908,292.3202165909785,366,3.2149999826952547e-07,22.497133016586304,GENI_SAMO_DINAMICNI,1m,prev1m_cyclic_unbounded
Fluvius_HP_EV,1,Dinamični,day_receding,day,receding,fixed50,1139.872049492559,737.0040033685318,1876.8760528610908,734.1297601261958,2.3664195777999995,15.000000000001059,9366.936778341129,8453.660441102902,9366.936778341129,0.0,15594.577209396022,4536.7598721579025,21.908,281.78868137009675,35135,4.3157893259149205e-08,1963.8525292873383,GENI_SAMO_DINAMICNI,1m,prev1m_cyclic_unbounded
Fluvius_HP_EV,1,Dinamični,week_block,week,block,fixed50,1143.094547164555,733.7815056965358,1876.8760528610908,736.6104068250928,3.1082705511,14.999999840526327,9450.32107594468,8528.914801977351,9450.32107594468,0.0,15674.221359847103,4608.274085879999,21.908,284.2971600659117,53,1.0275263060410822e-06,19.37055993080139,GENI_SAMO_DINAMICNI,1m,prev1m_cyclic_unbounded
Fluvius_HP_EV,1,Dinamični,month_block,month,block,fixed50,1140.067710488262,736.8083423728287,1876.8760528610908,732.6233904888938,4.068450211,14.999999840526327,9258.210044360683,8355.534616929146,9258.210044360683,0.0,15571.105157731532,4523.888730299998,21.908,278.5178205643049,12,1.3034736812134184e-06,26.63498592376709,GENI_SAMO_DINAMICNI,1m,prev1m_cyclic_unbounded
Fluvius_HP_EV,1,Dinamični,full_period,period,block,fixed50,1135.74076231366,741.1352905474307,1876.8760528610908,728.2669491715934,4.0979433537,14.999999840526327,9247.593197372691,8345.952915429143,9247.593197372691,0.0,15555.940310743603,4509.759028799999,21.908,278.1984305143048,1,1.3034736812134184e-06,76.56701016426086,GENI_SAMO_DINAMICNI,1m,prev1m_cyclic_unbounded
