Dataset,Household,Tariff,Strategy,Horizon,Execution,SOC_Mode,Cost_EUR,Savings_EUR,No_Battery_EUR,Energy_EUR,Power_EUR,Final_SOC_kWh,Charged_kWh,Discharged_kWh,Grid_Charged_kWh,Curtailed_kWh,Import_kWh,Export_kWh,Peak_Import_kW,Equivalent_Full_Cycles,N_Solves,SOC_Drift_kWh,Runtime_s,Paket_ID,Peak_Reset,Agreed_Power
Fluvius,4,Aktivni,day_block,day,block,fixed50,296.01142214698683,336.19481171670503,632.2062338636919,150.52171519910146,0.0194448069,14.99999999866328,4675.896142581502,4219.9962675136585,4675.896142581502,0.0,5785.799025067919,2565.0361499999967,4.6794072,140.66654225045528,366,4.3373685087999547e-07,23.10218906402588,GENI_SAMO_AKTIVNI,1m,prev1m_cyclic_unbounded
Fluvius,4,Aktivni,day_receding,day,receding,fixed50,186.0184618012158,446.18777206247603,632.2062338636919,39.16831316489737,1.3798864955999992,14.999999999995625,6458.052997411818,5828.392828697037,6458.052997411818,0.0,7636.3676568940145,4241.844488178999,9.845237200000001,194.27976095656788,35135,3.042105589656785e-08,1963.3964869976044,GENI_SAMO_AKTIVNI,1m,prev1m_cyclic_unbounded
Fluvius,4,Aktivni,week_block,week,block,fixed50,125.20815743963576,506.9980764240561,632.2062338636919,-33.867076939001535,13.6049722376,14.999999998331575,7572.65811057822,6834.323964628159,7572.65811057822,0.0,8745.248438050632,5242.05129210001,9.512473600000002,227.81079882093863,53,9.660000088729248e-07,19.132133960723877,GENI_SAMO_AKTIVNI,1m,prev1m_cyclic_unbounded
Fluvius,4,Aktivni,month_block,month,block,fixed50,98.06940470472871,534.1368291589631,632.2062338636919,-61.844343852699886,14.4434864166,15.00000014247371,8067.027650614313,7280.4924975003805,8067.027650614313,0.0,9249.03165061441,5697.63349750001,10.3184736,242.6830832500127,12,3.500000054570962e-07,20.509652853012085,GENI_SAMO_AKTIVNI,1m,prev1m_cyclic_unbounded
Fluvius,4,Aktivni,full_period,period,block,fixed50,90.26286192692908,541.9433719367628,632.2062338636919,-69.66257026429821,14.45517005,15.000000004394732,8162.3135123582315,7366.487990000397,8162.3135123582315,0.0,9339.207512358123,5778.518990000006,10.3184736,245.5495996666799,1,3.500000054570962e-07,30.556928634643555,GENI_SAMO_AKTIVNI,1m,prev1m_cyclic_unbounded
