Dataset,Household,Tariff,Strategy,Horizon,Execution,SOC_Mode,Cost_EUR,Savings_EUR,No_Battery_EUR,Energy_EUR,Power_EUR,Final_SOC_kWh,Charged_kWh,Discharged_kWh,Grid_Charged_kWh,Curtailed_kWh,Import_kWh,Export_kWh,Peak_Import_kW,Equivalent_Full_Cycles,N_Solves,SOC_Drift_kWh,Runtime_s,Paket_ID
Fluvius_PV_EV,4,Redni 1T,day_block,day,block,fixed50,340.4471874215456,103.20057052475397,443.6477579462996,181.60906113209856,0.0,14.999999999995435,1218.3281837198028,1099.5411858071227,0.8452446907,0.0,1476.3020588835855,780.138060970901,3.6693333332,36.65137286023742,366,0.0,22.788196086883545,GENI_SAMO_REDNI
Fluvius_PV_EV,4,Redni 1T,day_receding,day,receding,fixed50,337.4253491618487,106.22240878445086,443.6477579462996,178.58722287239777,0.0,14.999999999998304,1247.3570817300636,1125.739766261379,0.08494367900000341,0.0,1449.343177417631,750.3488619489389,3.6693333332,37.524658875379295,35135,0.0,2006.056783914566,GENI_SAMO_REDNI
Fluvius_PV_EV,4,Redni 1T,week_block,week,block,fixed50,320.57471280332487,123.0730451429747,443.6477579462996,161.73658651389837,0.0,14.999999999684208,1454.0052049860033,1312.2396975127901,3.946495907847236e-15,0.0,1262.7583024872033,543.615795013999,3.6693333332,43.74132325042634,53,4.394737206092625e-09,19.613795042037964,GENI_SAMO_REDNI
Fluvius_PV_EV,4,Redni 1T,month_block,month,block,fixed50,316.2539918792189,127.39376606708066,443.6477579462996,157.4158655897984,0.0,14.999999996421034,1508.2320553916525,1361.1794300240751,4.3211961786582265e-15,0.0,1213.8185699759224,489.3889446083496,3.6693333332,45.372647667469174,12,1.0526289302009717e-08,20.794780015945435,GENI_SAMO_REDNI
Fluvius_PV_EV,4,Redni 1T,full_period,period,block,fixed50,315.9092563672193,127.73850157908026,443.6477579462996,157.0711300777986,0.0,14.999999996105256,1510.730603890353,1363.4343700217935,4.305583667374435e-15,0.0,1211.5636299782009,486.8903961096496,3.6693333332,45.44781233405978,1,2.3810411420299715e-08,60.81087589263916,GENI_SAMO_REDNI
