Dataset,Household,Tariff,Strategy,Horizon,Execution,SOC_Mode,Cost_EUR,Savings_EUR,No_Battery_EUR,Energy_EUR,Power_EUR,Final_SOC_kWh,Charged_kWh,Discharged_kWh,Grid_Charged_kWh,Curtailed_kWh,Import_kWh,Export_kWh,Peak_Import_kW,Equivalent_Full_Cycles,N_Solves,SOC_Drift_kWh,Runtime_s,Paket_ID
Fluvius_HP_EV,3,Dinamični,day_block,day,block,fixed50,1246.033797099345,704.1680808573449,1950.20187795669,794.5469488247988,0.3120466591999999,14.999999999999998,10444.12045589956,9425.818708392171,10444.12045589956,0.0,15071.404955425498,4515.883207918997,22.7669472,314.1939569464057,366,4.53421055368608e-07,22.13834857940674,GENI_SAMO_DINAMICNI
Fluvius_HP_EV,3,Dinamični,day_receding,day,receding,fixed50,1167.347252413028,782.854625543662,1950.20187795669,715.8409436284013,0.3315071696,15.000000000001052,9890.587881660387,8926.255560490108,9890.587881660387,0.0,14695.416791609525,4193.864470439995,22.7669472,297.5418520163369,35135,4.7368420297289056e-08,1925.5754220485687,GENI_SAMO_DINAMICNI
Fluvius_HP_EV,3,Dinamični,week_block,week,block,fixed50,1171.512892718125,778.688985238565,1950.20187795669,719.9656215876,0.3724695152,14.999999999999998,10003.695932649982,9028.33559366421,10003.695932649982,0.0,14792.10726769516,4279.5269287099945,22.7669472,300.944519788807,53,7.180526432892798e-07,20.07459616661072,GENI_SAMO_DINAMICNI
Fluvius_HP_EV,3,Dinamični,month_block,month,block,fixed50,1166.2005220666235,784.0013558900664,1950.20187795669,714.392560650298,0.6331598009,14.999999043289476,9887.010687417902,8923.02719059512,9887.010687417902,0.0,14700.16704627278,4198.963549449992,22.7669472,297.434239686504,12,1.2634210442841187e-06,38.65819692611694,GENI_SAMO_DINAMICNI
Fluvius_HP_EV,3,Dinamični,full_period,period,block,fixed50,1158.6024272573238,791.5994506993661,1950.20187795669,704.7602461370976,2.6673795049,14.999999185789482,9920.690016500212,8953.422865848115,9920.690016500212,0.0,14730.675569991943,4226.188419339993,22.7389472,298.44742886160384,1,1.3761315721949607e-06,76.8946123123169,GENI_SAMO_DINAMICNI
