Dataset,Household,Strategy,Horizon,Execution,SOC_Mode,Cost_EUR,Savings_EUR,No_Battery_EUR,Energy_EUR,Power_EUR,Final_SOC_kWh,Charged_kWh,Discharged_kWh,Grid_Charged_kWh,Curtailed_kWh,Import_kWh,Export_kWh,Peak_Import_kW,Equivalent_Full_Cycles,N_Solves,SOC_Drift_kWh,Runtime_s
Fluvius_HP,5,day_block,day,block,fixed50,1157.7146321803132,690.1165251257025,1847.8311573060157,868.4504041274988,0.3725730601,15.00000011597368,10337.761809314434,9329.8299370585,10337.761809314434,0.0,14992.01125456623,4015.5030963110034,17.8789472,310.9943312352833,366,9.033684165160594e-07,22.577331066131592
Fluvius_HP,5,day_receding,day,receding,fixed50,1085.904433230823,761.9267240751926,1847.8311573060157,796.5263286603011,0.48644957829999996,14.9999999983421,9739.617929533333,8790.005178813608,9739.617929533333,0.0,14672.852710870306,3754.6636741510033,14.8269472,293.00017262712026,35135,4.68421283983389e-08,1949.2535450458527
Fluvius_HP,5,week_block,week,block,fixed50,1074.3462832475097,773.484874058506,1847.8311573060157,784.3565332322016,1.0980950228,15.00000011597368,9945.440270076986,8975.759771348512,9945.440270076986,0.0,14849.395787758194,3911.1390030300036,13.1709472,299.1919923782837,53,2.0934052429311123e-06,19.831855058670044
Fluvius_HP,5,month_block,month,block,fixed50,1051.6213221642097,796.209835141806,1847.8311573060157,760.912988212497,1.8166789589999999,15.000000013710526,10018.08320563708,9041.320082276217,10018.08320563708,0.0,14877.015686400377,3931.6762770400032,13.8891788,301.3773360758739,12,2.0608578772396413e-06,34.676299810409546
Fluvius_HP,5,full_period,period,block,fixed50,1038.3835400945125,809.4476172115033,1847.8311573060157,741.9898440170991,7.502041084900001,14.999999461710523,10245.047869536793,9246.155812796238,10245.047869536793,0.0,15036.811691460161,4069.3433487200036,16.2629472,308.2051937598746,1,1.709394749043261e-06,57.349294900894165
