Dataset,Household,Tariff,Strategy,Horizon,Execution,SOC_Mode,Cost_EUR,Savings_EUR,No_Battery_EUR,Energy_EUR,Power_EUR,Final_SOC_kWh,Charged_kWh,Discharged_kWh,Grid_Charged_kWh,Curtailed_kWh,Import_kWh,Export_kWh,Peak_Import_kW,Equivalent_Full_Cycles,N_Solves,SOC_Drift_kWh,Runtime_s,Paket_ID
Fluvius_HP,2,Aktivni,day_block,day,block,fixed50,1412.0908968384279,477.59477329086985,1889.6856701292977,1186.382374755051,0.047923114700000005,14.999999999026283,6109.497911399988,5513.821841802083,6109.497911399988,0.0,11647.448262098185,1822.2161924999998,7.2416068000000005,183.79406139340279,366,6.710526392339489e-07,22.955965995788574,GENI_SAMO_AKTIVNI
Fluvius_HP,2,Aktivni,day_receding,day,receding,fixed50,1246.4460220411422,643.2396480881555,1889.6856701292977,1020.6257786382706,0.159644434,15.000000000004672,8973.825722797617,8098.877711937301,8973.825722797978,0.0,14452.944781089469,4348.440770227989,11.609474,269.96259039791005,35135,3.9500005044601494e-08,2003.4958021640778,GENI_SAMO_AKTIVNI
Fluvius_HP,2,Aktivni,week_block,week,block,fixed50,1264.2695857961298,625.4160843331679,1889.6856701292977,1037.7989974969544,0.8099893303999999,15.000000002763148,8582.048303869977,7745.2985993632665,8582.048303869977,0.0,14085.758189017954,4019.452484509996,8.2879736,258.17661997877553,53,7.900000014160469e-07,19.50142478942871,GENI_SAMO_AKTIVNI
Fluvius_HP,2,Aktivni,month_block,month,block,fixed50,1241.4450521819938,648.2406179473039,1889.6856701292977,1014.8054818395998,0.9789713738,15.000000002710511,8992.729815189992,8115.938656160285,8992.729815189992,0.0,14462.929669530933,4356.582510499988,8.467473600000002,270.53128853867616,12,6.000000070116585e-07,21.26014995574951,GENI_SAMO_AKTIVNI
Fluvius_HP,2,Aktivni,full_period,period,block,fixed50,1227.7388689760471,661.9468011532506,1889.6856701292977,999.7758515536173,2.3024184537,14.99999936315788,9313.691522169747,8405.606695000288,9313.691522169747,0.0,14573.578827170313,4435.93799999999,12.954947200000001,280.18688983334295,1,1.3452631697496997e-06,46.38503932952881,GENI_SAMO_AKTIVNI
