Dataset,Household,Tariff,Strategy,Horizon,Execution,SOC_Mode,Cost_EUR,Savings_EUR,No_Battery_EUR,Energy_EUR,Power_EUR,Final_SOC_kWh,Charged_kWh,Discharged_kWh,Grid_Charged_kWh,Curtailed_kWh,Import_kWh,Export_kWh,Peak_Import_kW,Equivalent_Full_Cycles,N_Solves,SOC_Drift_kWh,Runtime_s,Paket_ID,Peak_Reset,Agreed_Power
Fluvius_HP_EV,5,Dinamični,day_block,day,block,fixed50,391.31943516769417,605.910439994705,997.2298751623993,141.65427447640042,1.5722919364,15.00000000105256,9033.96269742605,8153.151335535707,9033.96269742605,0.0,10385.26558644046,4898.751224550981,12.1309472,271.77171118452355,366,3.500000028411332e-07,23.03986096382141,GENI_SAMO_DINAMICNI,1m,prev1m_cyclic_unbounded
Fluvius_HP_EV,5,Dinamični,day_receding,day,receding,fixed50,317.74315895811986,679.4867162042792,997.2298751623993,67.74971014890214,1.900580055,14.99999999999732,8695.493396295242,7847.68278918157,8695.493396295242,0.0,10070.448157701478,4616.934550588676,12.3349472,261.58942630605236,35135,4.4789480568852014e-08,1993.8205361366272,GENI_SAMO_DINAMICNI,1m,prev1m_cyclic_unbounded
Fluvius_HP_EV,5,Dinamični,week_block,week,block,fixed50,323.40999122791385,673.8198839344852,997.2298751623993,72.79184448220144,2.5252779911999994,15.000000004473597,8817.499785930531,7957.793581624933,8817.499785930531,0.0,10220.051388844868,4754.6421845399755,12.4285896,265.2597860541644,53,7.116191895750745e-07,20.70713996887207,GENI_SAMO_DINAMICNI,1m,prev1m_cyclic_unbounded
Fluvius_HP_EV,5,Dinamični,month_block,month,block,fixed50,310.5864356309163,686.6434395314828,997.2298751623993,47.10782309410239,15.385743782299995,15.00000000447359,8830.809579621393,7969.805666101936,8830.809579621393,0.0,10207.640940722982,4740.934027203971,12.7159292,265.66018887006453,12,1.0673684123219118e-06,44.888999223709106,GENI_SAMO_DINAMICNI,1m,prev1m_cyclic_unbounded
Fluvius_HP_EV,5,Dinamični,full_period,period,block,fixed50,307.1646050933176,690.0652700690815,997.2298751623993,43.75881198030222,15.3129243586,15.00000000447359,8787.054355289989,7930.316576427937,8787.054355289989,0.0,10176.023918891631,4713.583140029974,12.9109472,264.3438858809312,1,1.0673684123219118e-06,179.2727029323578,GENI_SAMO_DINAMICNI,1m,prev1m_cyclic_unbounded
