controller,label,causal,Cost_EUR,Cost_EUR_Closed,Terminal_SOC_Adj_EUR,Energy_EUR,Power_EUR,Fixed_EUR,Cost_EUR_Total,Final_SOC_kWh,Charged_kWh,Discharged_kWh,Grid_Charged_kWh,Curtailed_kWh,Import_kWh,Export_kWh,Peak_Import_kW,Equivalent_Full_Cycles,N_Solves,SOC_Drift_kWh,Runtime_s,Agreed_Power_Iters,Agreed_Power_Converged
no_battery,No battery,True,266.85422321110013,266.85422321110013,0.0,245.51903680150065,21.33518640960001,109.67045539399433,376.52467860509444,4.0,0.0,0.0,0.0,0.0,3099.697999999993,455.28600000000006,4.266,0.0,0,0.0,0.6788830757141113,1,True
self_consumption,Self-consumption,True,243.17162321290016,243.51459757034357,0.342974357443403,221.92364486540026,21.247978347600007,107.39407179818465,350.9086693685282,0.0,455.28600000000006,414.6956149999998,0.0,0.0,2685.002384999992,4.440892098500626e-16,4.266,41.46956149999998,0,1.1102230246251565e-16,1.346989631652832,2,True
fixed_schedule,Fixed schedule,True,253.4554839758008,253.68573895323453,0.23025497743373502,233.09622063050054,20.359263345200002,92.36691496639867,346.0526539196332,1.31461,2000.6194808864298,1808.110201999995,1631.9899268698075,0.0,2923.5777248698055,86.65644598337956,4.266,180.81102019999952,0,1.1102230246251565e-16,3.431335687637329,5,True
delayed_pv_charge,Delayed PV charge,True,243.17162321290016,243.51459757034357,0.342974357443403,221.92364486540026,21.247978347600007,107.39407179818465,350.9086693685282,0.0,455.28600000000006,414.6956149999998,0.0,0.0,2685.002384999992,4.440892098500626e-16,4.266,41.46956149999998,0,1.1102230246251565e-16,1.3385026454925537,2,True
price_threshold,Price threshold,True,250.93102169360108,250.96922271907158,0.038201025470505315,231.8920242377011,19.038997455699995,109.15576273702231,360.1249854560939,3.5544736842105267,1367.4511568930732,1234.547919096,1111.9145380565087,0.0,2977.0646189605227,199.74938116343475,4.266,123.4547919096,0,2.7755575615628914e-17,4.103810548782349,6,True
price_rank_daily,Day-ahead price rank,True,243.28385198230066,243.62682633974407,0.342974357443403,225.07774054700022,18.206111435100002,105.96490432119315,349.59173066093723,0.0,1822.2344604531993,1648.3666005590067,1463.7948371844989,0.0,2915.1262366254505,96.84637673130204,4.266,164.83666005590067,0,5.551115123125783e-17,4.081482648849487,6,False
peak_shaving,Peak shaving,True,249.28598197289938,249.28560169845653,-0.00038027444284036344,240.51757367399966,8.768408299,88.59550986941693,337.88111156787346,4.004435018940483,177.87804530276645,160.53072261775304,82.94702206118478,0.0,3022.1142994435195,360.35497675841856,2.840312391488109,16.053072261775306,0,0.0,2.14082932472229,3,True
self_consumption_peak_shaving,Self-consumption + peak shaving,True,233.1886672165998,233.360898722001,0.17223150540119564,222.06182302529982,11.126844191099998,93.49649540658082,326.8573941285818,1.9913191565102126,538.1755323807143,487.61166477490985,82.88953238071488,0.0,2694.9758676058245,4.440892098500626e-16,3.37,48.76116647749099,0,0.0,2.1807920932769775,3,True
tariff_arbitrage,Tariff arbitrage,True,242.8635917996003,243.2065661570437,0.342974357443403,229.12168631590026,13.741905483799998,96.74335561898842,339.9499217760321,0.0,1458.7962339141159,1320.3636011074946,1210.393789120535,0.0,2989.728188013048,206.88355520641764,3.832,132.03636011074946,0,2.7755575615628914e-17,5.286565780639648,6,True
price_oracle,Price threshold (foresight),False,249.67871345900036,250.02168781644377,0.342974357443403,230.2751516637005,19.4035617953,107.66924093279493,357.6909287492387,0.0,1370.3067365096967,1240.5018297000006,1118.9917559002765,0.0,2978.1879262002535,203.97101939058146,4.266,124.05018297000007,0,1.1102230246251565e-16,3.38948655128479,5,True
