KPI,No battery,Perfect foresight,Forecast (Prophet)
Total cost,404.93,209.03 (-48.4 %),351.00 (-13.3 %)
Regret vs perfect foresight (% of no-battery cost),—,0.00 (+0.0 %),141.98 (+35.1 %)
Energy bought (kWh),2330.6,1770.3 (-24.0 %),2858.0 (+22.6 %)
Energy sold (kWh),782.1,30.8 (-96.1 %),1104.3 (+41.2 %)
