KPI,No battery,Perfect foresight,Forecast (Prophet)
Total cost,158.60,109.43 (-31.0 %),134.24 (-15.4 %)
Regret vs perfect foresight (% of no-battery cost),—,0.00 (+0.0 %),24.81 (+15.6 %)
Energy bought (kWh),2171.0,1420.7 (-34.6 %),1826.2 (-15.9 %)
Energy sold (kWh),1009.2,178.8 (-82.3 %),599.6 (-40.6 %)
