KPI,No battery,Perfect foresight,Forecast (Prophet)
Total cost,294.63,238.09 (-19.2 %),275.17 (-6.6 %)
Regret vs perfect foresight (% of no-battery cost),—,0.00 (+0.0 %),37.08 (+12.6 %)
Energy bought (kWh),3680.3,2827.8 (-23.2 %),3424.6 (-6.9 %)
Energy sold (kWh),1039.9,93.7 (-91.0 %),677.6 (-34.8 %)
