KPI,No battery,Perfect foresight,Forecast (Prophet)
Total cost,1176.20,904.68 (-23.1 %),992.68 (-15.6 %)
Regret vs perfect foresight (% of no-battery cost),—,0.00 (+0.0 %),88.00 (+7.5 %)
Energy bought (kWh),6218.9,5396.5 (-13.2 %),5843.3 (-6.0 %)
Energy sold (kWh),988.9,25.1 (-97.5 %),470.9 (-52.4 %)
