KPI,No battery,Perfect foresight,Forecast (Prophet)
Total cost,732.43,521.07 (-28.9 %),600.68 (-18.0 %)
Regret vs perfect foresight (% of no-battery cost),—,0.00 (+0.0 %),79.61 (+10.9 %)
Energy bought (kWh),3448.2,3166.4 (-8.2 %),3807.7 (+10.4 %)
Energy sold (kWh),403.7,16.2 (-96.0 %),636.1 (+57.6 %)
