KPI,No battery,Perfect foresight,Forecast (Prophet)
Total cost,561.15,240.57 (-57.1 %),276.61 (-50.7 %)
Regret vs perfect foresight (% of no-battery cost),—,0.00 (+0.0 %),36.04 (+6.4 %)
Energy bought (kWh),4018.0,2048.8 (-49.0 %),2261.6 (-43.7 %)
Energy sold (kWh),3862.8,1670.3 (-56.8 %),1911.2 (-50.5 %)
