KPI,No battery,Perfect foresight,Forecast (Prophet)
Total cost,426.63,387.39 (-9.2 %),419.15 (-1.8 %)
Regret vs perfect foresight (% of no-battery cost),—,0.00 (+0.0 %),31.76 (+7.4 %)
Energy bought (kWh),5965.7,5362.1 (-10.1 %),5890.7 (-1.3 %)
Energy sold (kWh),2546.2,1870.7 (-26.5 %),2399.6 (-5.8 %)
