KPI,No battery,Perfect foresight,Forecast (Prophet)
Total cost,791.67,546.39 (-31.0 %),629.07 (-20.5 %)
Regret vs perfect foresight (% of no-battery cost),—,0.00 (+0.0 %),82.68 (+10.4 %)
Energy bought (kWh),3740.4,3585.6 (-4.1 %),4070.7 (+8.8 %)
Energy sold (kWh),285.4,9.6 (-96.6 %),490.5 (+71.9 %)
