KPI,No battery,Perfect foresight,Forecast (Prophet)
Total cost,383.79,352.40 (-8.2 %),372.22 (-3.0 %)
Regret vs perfect foresight (% of no-battery cost),—,0.00 (+0.0 %),19.82 (+5.2 %)
Energy bought (kWh),4741.6,4312.6 (-9.0 %),4638.9 (-2.2 %)
Energy sold (kWh),554.7,77.5 (-86.0 %),407.1 (-26.6 %)
