KPI,No battery,Perfect foresight,Forecast (Prophet)
Total cost,421.38,209.80 (-50.2 %),315.92 (-25.0 %)
Regret vs perfect foresight (% of no-battery cost),—,0.00 (+0.0 %),106.13 (+25.2 %)
Energy bought (kWh),2171.0,1436.5 (-33.8 %),1854.5 (-14.6 %)
Energy sold (kWh),1009.2,158.5 (-84.3 %),602.9 (-40.3 %)
