KPI,No battery,Perfect foresight,Forecast (Prophet)
Total cost,158.60,109.43 (-31.0 %),127.06 (-19.9 %)
Regret vs perfect foresight (% of no-battery cost),—,0.00 (+0.0 %),17.63 (+11.1 %)
Energy bought (kWh),2171.0,1420.7 (-34.6 %),1697.3 (-21.8 %)
Energy sold (kWh),1009.2,178.8 (-82.3 %),452.7 (-55.1 %)
