KPI,No battery,Perfect foresight,Forecast (Prophet)
Total cost,687.94,425.31 (-38.2 %),514.06 (-25.3 %)
Regret vs perfect foresight (% of no-battery cost),—,0.00 (+0.0 %),88.75 (+12.9 %)
Energy bought (kWh),3410.8,2651.8 (-22.3 %),3325.8 (-2.5 %)
Energy sold (kWh),906.3,18.2 (-98.0 %),698.9 (-22.9 %)
