KPI,No battery,Perfect foresight,Forecast (Prophet)
Total cost,383.79,352.40 (-8.2 %),372.48 (-2.9 %)
Regret vs perfect foresight (% of no-battery cost),—,0.00 (+0.0 %),20.07 (+5.2 %)
Energy bought (kWh),4741.6,4312.6 (-9.0 %),4635.0 (-2.2 %)
Energy sold (kWh),554.7,77.5 (-86.0 %),409.9 (-26.1 %)
