KPI,No battery,Perfect foresight,Forecast (Prophet)
Total cost,1176.20,904.68 (-23.1 %),954.68 (-18.8 %)
Regret vs perfect foresight (% of no-battery cost),—,0.00 (+0.0 %),50.00 (+4.3 %)
Energy bought (kWh),6218.9,5396.5 (-13.2 %),5615.6 (-9.7 %)
Energy sold (kWh),988.9,25.1 (-97.5 %),271.7 (-72.5 %)
