KPI,No battery,Perfect foresight,Forecast (Prophet)
Total cost,801.96,423.32 (-47.2 %),514.87 (-35.8 %)
Regret vs perfect foresight (% of no-battery cost),—,0.00 (+0.0 %),91.56 (+11.4 %)
Energy bought (kWh),4470.2,2740.1 (-38.7 %),3291.9 (-26.4 %)
Energy sold (kWh),2399.5,463.9 (-80.7 %),1014.0 (-57.7 %)
