KPI,No battery,Perfect foresight,Forecast (Prophet)
Total cost,585.69,433.84 (-25.9 %),513.10 (-12.4 %)
Regret vs perfect foresight (% of no-battery cost),—,0.00 (+0.0 %),79.25 (+13.5 %)
Energy bought (kWh),3099.7,2750.8 (-11.3 %),3357.8 (+8.3 %)
Energy sold (kWh),455.3,22.4 (-95.1 %),608.5 (+33.6 %)
