KPI,No battery,Perfect foresight,Forecast (Prophet)
Total cost,1068.75,834.56 (-21.9 %),932.25 (-12.8 %)
Regret vs perfect foresight (% of no-battery cost),—,0.00 (+0.0 %),97.69 (+9.1 %)
Energy bought (kWh),5853.9,5300.1 (-9.5 %),5810.0 (-0.7 %)
Energy sold (kWh),712.2,39.4 (-94.5 %),548.2 (-23.0 %)
