KPI,No battery,Perfect foresight,Forecast (Prophet)
Total cost,561.15,240.57 (-57.1 %),400.74 (-28.6 %)
Regret vs perfect foresight (% of no-battery cost),—,0.00 (+0.0 %),160.17 (+28.5 %)
Energy bought (kWh),4018.0,2048.8 (-49.0 %),3007.8 (-25.1 %)
Energy sold (kWh),3862.8,1670.3 (-56.8 %),2591.8 (-32.9 %)
