KPI,No battery,Perfect foresight,Forecast (Prophet)
Total cost,337.07,178.39 (-47.1 %),305.54 (-9.4 %)
Regret vs perfect foresight (% of no-battery cost),—,0.00 (+0.0 %),127.15 (+37.7 %)
Energy bought (kWh),2471.0,1625.7 (-34.2 %),2584.5 (+4.6 %)
Energy sold (kWh),1453.2,466.0 (-67.9 %),1428.0 (-1.7 %)
