KPI,No battery,Perfect foresight,Forecast (Prophet)
Total cost,732.43,521.07 (-28.9 %),581.98 (-20.5 %)
Regret vs perfect foresight (% of no-battery cost),—,0.00 (+0.0 %),60.92 (+8.3 %)
Energy bought (kWh),3448.2,3166.4 (-8.2 %),3458.7 (+0.3 %)
Energy sold (kWh),403.7,16.2 (-96.0 %),307.7 (-23.8 %)
