KPI,No battery,Perfect foresight,Forecast (Prophet)
Total cost,449.84,394.72 (-12.3 %),430.20 (-4.4 %)
Regret vs perfect foresight (% of no-battery cost),—,0.00 (+0.0 %),35.48 (+7.9 %)
Energy bought (kWh),6029.8,5187.2 (-14.0 %),5775.9 (-4.2 %)
Energy sold (kWh),2108.6,1170.9 (-44.5 %),1767.0 (-16.2 %)
