KPI,No battery,Perfect foresight,Forecast (Prophet)
Total cost,561.15,240.57 (-57.1 %),404.31 (-28.0 %)
Regret vs perfect foresight (% of no-battery cost),—,0.00 (+0.0 %),163.74 (+29.2 %)
Energy bought (kWh),4018.0,2048.8 (-49.0 %),3168.4 (-21.1 %)
Energy sold (kWh),3862.8,1670.3 (-56.8 %),2764.9 (-28.4 %)
