KPI,No battery,Perfect foresight,Forecast (Prophet)
Total cost,760.95,469.13 (-38.3 %),486.59 (-36.1 %)
Regret vs perfect foresight (% of no-battery cost),—,0.00 (+0.0 %),17.46 (+2.3 %)
Energy bought (kWh),3680.3,2870.8 (-22.0 %),2978.2 (-19.1 %)
Energy sold (kWh),1039.9,76.0 (-92.7 %),194.2 (-81.3 %)
