KPI,No battery,Perfect foresight,Forecast (Prophet)
Total cost,816.77,625.89 (-23.4 %),643.64 (-21.2 %)
Regret vs perfect foresight (% of no-battery cost),—,0.00 (+0.0 %),17.75 (+2.2 %)
Energy bought (kWh),4365.1,4292.6 (-1.7 %),4325.8 (-0.9 %)
Energy sold (kWh),187.6,13.9 (-92.6 %),56.4 (-70.0 %)
