KPI,No battery,Perfect foresight,Forecast (Prophet)
Total cost,158.16,96.81 (-38.8 %),127.35 (-19.5 %)
Regret vs perfect foresight (% of no-battery cost),—,0.00 (+0.0 %),30.54 (+19.3 %)
Energy bought (kWh),2471.0,1437.9 (-41.8 %),1924.9 (-22.1 %)
Energy sold (kWh),1453.2,306.4 (-78.9 %),781.5 (-46.2 %)
