KPI,No battery,Perfect foresight,Forecast (Prophet)
Total cost,1028.46,737.07 (-28.3 %),825.72 (-19.7 %)
Regret vs perfect foresight (% of no-battery cost),—,0.00 (+0.0 %),88.65 (+8.6 %)
Energy bought (kWh),4949.2,4329.1 (-12.5 %),4975.8 (+0.5 %)
Energy sold (kWh),790.7,24.3 (-96.9 %),657.8 (-16.8 %)
