KPI,No battery,Perfect foresight,Forecast (Prophet)
Total cost,245.44,217.45 (-11.4 %),229.84 (-6.4 %)
Regret vs perfect foresight (% of no-battery cost),—,0.00 (+0.0 %),12.39 (+5.0 %)
Energy bought (kWh),3099.7,2714.0 (-12.4 %),2901.4 (-6.4 %)
Energy sold (kWh),455.3,26.0 (-94.3 %),214.2 (-53.0 %)
