KPI,No battery,Perfect foresight,Forecast (Prophet)
Total cost,383.79,352.40 (-8.2 %),377.01 (-1.8 %)
Regret vs perfect foresight (% of no-battery cost),—,0.00 (+0.0 %),24.61 (+6.4 %)
Energy bought (kWh),4741.6,4312.6 (-9.0 %),4711.5 (-0.6 %)
Energy sold (kWh),554.7,77.5 (-86.0 %),486.0 (-12.4 %)
