KPI,No battery,Perfect foresight,Forecast (Prophet)
Total cost,396.82,350.34 (-11.7 %),367.08 (-7.5 %)
Regret vs perfect foresight (% of no-battery cost),—,0.00 (+0.0 %),16.75 (+4.2 %)
Energy bought (kWh),4949.2,4272.5 (-13.7 %),4535.3 (-8.4 %)
Energy sold (kWh),790.7,38.4 (-95.1 %),296.5 (-62.5 %)
