KPI,No battery,Perfect foresight,Forecast (Prophet)
Total cost,426.63,387.39 (-9.2 %),406.33 (-4.8 %)
Regret vs perfect foresight (% of no-battery cost),—,0.00 (+0.0 %),18.94 (+4.4 %)
Energy bought (kWh),5965.7,5362.1 (-10.1 %),5657.8 (-5.2 %)
Energy sold (kWh),2546.2,1870.7 (-26.5 %),2157.5 (-15.3 %)
