KPI,No battery,Perfect foresight,Forecast (Prophet)
Total cost,988.03,723.35 (-26.8 %),796.71 (-19.4 %)
Regret vs perfect foresight (% of no-battery cost),—,0.00 (+0.0 %),73.36 (+7.4 %)
Energy bought (kWh),4741.6,4390.9 (-7.4 %),4893.2 (+3.2 %)
Energy sold (kWh),554.7,71.4 (-87.1 %),564.6 (+1.8 %)
