KPI,No battery,Perfect foresight,Forecast (Prophet)
Total cost,693.23,479.10 (-30.9 %),547.91 (-21.0 %)
Regret vs perfect foresight (% of no-battery cost),—,0.00 (+0.0 %),68.81 (+9.9 %)
Energy bought (kWh),3203.1,2924.6 (-8.7 %),3221.5 (+0.6 %)
Energy sold (kWh),493.6,107.2 (-78.3 %),409.0 (-17.1 %)
