KPI,No battery,Perfect foresight,Forecast (Prophet)
Total cost,471.40,262.51 (-44.3 %),353.94 (-24.9 %)
Regret vs perfect foresight (% of no-battery cost),—,0.00 (+0.0 %),91.43 (+19.4 %)
Energy bought (kWh),2330.6,1677.5 (-28.0 %),2329.8 (-0.0 %)
Energy sold (kWh),782.1,21.4 (-97.3 %),670.9 (-14.2 %)
