KPI,No battery,Perfect foresight,Forecast (Prophet)
Total cost,245.44,217.45 (-11.4 %),233.21 (-5.0 %)
Regret vs perfect foresight (% of no-battery cost),—,0.00 (+0.0 %),15.76 (+6.4 %)
Energy bought (kWh),3099.7,2714.0 (-12.4 %),2962.2 (-4.4 %)
Energy sold (kWh),455.3,26.0 (-94.3 %),273.6 (-39.9 %)
