KPI,No battery,Perfect foresight,Forecast (Prophet)
Total cost,363.60,202.55 (-44.3 %),279.09 (-23.2 %)
Regret vs perfect foresight (% of no-battery cost),—,0.00 (+0.0 %),76.54 (+21.0 %)
Energy bought (kWh),2471.0,1392.0 (-43.7 %),1899.3 (-23.1 %)
Energy sold (kWh),1453.2,252.2 (-82.6 %),755.2 (-48.0 %)
