KPI,No battery,Perfect foresight,Forecast (Prophet)
Total cost,975.36,941.80 (-3.4 %),987.78 (+1.3 %)
Regret vs perfect foresight (% of no-battery cost),—,0.00 (+0.0 %),45.98 (+4.7 %)
Energy bought (kWh),12190.6,11960.9 (-1.9 %),12779.5 (+4.8 %)
Energy sold (kWh),382.5,11.1 (-97.1 %),826.8 (+116.1 %)
