KPI,No battery,Perfect foresight,Forecast (Prophet)
Total cost,562.65,256.21 (-54.5 %),380.79 (-32.3 %)
Regret vs perfect foresight (% of no-battery cost),—,0.00 (+0.0 %),124.57 (+22.1 %)
Energy bought (kWh),3082.3,1607.0 (-47.9 %),2587.2 (-16.1 %)
Energy sold (kWh),2034.4,382.1 (-81.2 %),1382.8 (-32.0 %)
