controller,label,causal,Cost_EUR,Cost_EUR_Closed,Terminal_SOC_Adj_EUR,Energy_EUR,Power_EUR,Fixed_EUR,Cost_EUR_Total,Final_SOC_kWh,Charged_kWh,Discharged_kWh,Grid_Charged_kWh,Curtailed_kWh,Import_kWh,Export_kWh,Peak_Import_kW,Equivalent_Full_Cycles,N_Solves,SOC_Drift_kWh,Runtime_s,Agreed_Power_Iters,Agreed_Power_Converged
no_battery,No battery,True,189.81072060170106,189.81072060170106,0.0,176.96288157110044,12.8478390306,112.69114797328527,302.50186857498636,4.0,0.0,0.0,0.0,0.0,2330.559000000014,782.1239999999984,3.4019999999999997,0.0,0,0.0,0.6611289978027344,1,True
self_consumption,Self-consumption,True,149.91564948220028,150.2586238396437,0.342974357443403,136.11336522379958,13.802284258599999,107.7528100499965,258.0114338896402,0.0,782.1239999999984,709.6669100000008,0.0,0.0,1620.892090000003,8.076872504148014e-15,3.4019999999999997,70.96669100000008,0,5.551115123125783e-17,1.3263273239135742,2,True
fixed_schedule,Fixed schedule,True,170.6301371014994,170.789834536684,0.15969743518458454,153.49068868349968,17.139448418100002,74.31626440489988,245.10609894158387,2.1374999999999997,1957.2074605429336,1768.1491081400125,1449.7143880997212,0.0,2012.124279959727,274.63092755678645,3.02,176.81491081400125,0,0.0,3.434619903564453,5,True
delayed_pv_charge,Delayed PV charge,True,149.91564948220028,150.2586238396437,0.342974357443403,136.11336522379958,13.802284258599999,107.7528100499965,258.0114338896402,0.0,782.1239999999984,709.6669100000008,0.0,0.0,1620.892090000003,8.076872504148014e-15,3.4019999999999997,70.96669100000008,0,5.551115123125783e-17,1.3511478900909424,2,True
price_threshold,Price threshold,True,171.8883183970002,172.09342225249492,0.20510385549472146,155.38493253740054,16.5033858596,100.84979173086901,272.94321398336393,1.607939473684212,1426.0707938570613,1289.3013489559987,1067.923065928532,0.0,2109.1807169725394,423.9762720714683,3.4019999999999997,128.93013489559988,0,0.0,2.033543825149536,3,True
price_rank_daily,Day-ahead price rank,True,156.69518567990005,157.03816003734346,0.342974357443403,145.7939280031999,10.901257676699998,88.41234244480684,245.45050248215028,0.0,1844.15209471291,1668.147265478402,1315.9207762481997,0.0,1978.3325107698013,253.89268153529108,3.03,166.8147265478402,0,0.0,3.410142183303833,5,True
peak_shaving,Peak shaving,True,178.03947735800074,177.81138714445478,-0.22809021354596323,171.00163076440052,7.037846593600001,76.19633307031388,254.00772021476865,6.660143052631592,201.59770843612407,179.41479596360196,95.49472444154839,0.0,2246.6389284779284,676.0210160054243,2.438,17.941479596360196,0,0.0,2.8392271995544434,4,True
self_consumption_peak_shaving,Self-consumption + peak shaving,True,146.8671120805001,146.97175493062372,0.10464285012361137,137.07364313889974,9.793468941399999,89.69221160539267,236.6639665360164,2.7795839793547326,839.4239716299841,758.7395296156756,60.54577790287271,0.0,1632.3652482872253,3.245806272886296,3.4019999999999997,75.87395296156755,0,0.0,2.901313304901123,4,True
tariff_arbitrage,Tariff arbitrage,True,176.62850915190015,176.97148350934356,0.342974357443403,159.87432288610015,16.7541862658,87.43350883050758,264.4049923398511,0.0,1507.1817496672315,1364.0315290746794,1239.1124123302166,0.0,2205.6398832555333,514.0546626629824,2.95,136.40315290746793,0,0.0,4.437685966491699,5,True
price_oracle,Price threshold (foresight),False,168.15952255989976,168.50249691734317,0.342974357443403,153.62812372589985,14.531398834,102.76162030377817,271.26411722112135,0.0,1408.397620740998,1274.87885271875,1044.0461055055396,0.0,2099.7262527867942,417.7724847645433,3.106,127.487885271875,0,5.551115123125783e-17,2.719747543334961,4,True
