KPI,No battery,Perfect foresight,Forecast (Prophet)
Total cost,1018.26,773.32 (-24.1 %),865.96 (-15.0 %)
Regret vs perfect foresight (% of no-battery cost),—,0.00 (+0.0 %),92.64 (+9.1 %)
Energy bought (kWh),5965.7,5415.6 (-9.2 %),5998.9 (+0.6 %)
Energy sold (kWh),2546.2,1857.0 (-27.1 %),2380.5 (-6.5 %)
