KPI,No battery,Perfect foresight,Forecast (Prophet)
Total cost,461.66,423.88 (-8.2 %),443.61 (-3.9 %)
Regret vs perfect foresight (% of no-battery cost),—,0.00 (+0.0 %),19.73 (+4.3 %)
Energy bought (kWh),5669.5,5154.6 (-9.1 %),5469.1 (-3.5 %)
Energy sold (kWh),591.3,16.0 (-97.3 %),339.1 (-42.7 %)
