KPI,No battery,Perfect foresight,Forecast (Prophet)
Total cost,284.05,255.42 (-10.1 %),266.46 (-6.2 %)
Regret vs perfect foresight (% of no-battery cost),—,0.00 (+0.0 %),11.04 (+3.9 %)
Energy bought (kWh),3466.3,3088.3 (-10.9 %),3251.3 (-6.2 %)
Energy sold (kWh),467.3,46.9 (-90.0 %),207.9 (-55.5 %)
