KPI,No battery,Perfect foresight,Forecast (Prophet)
Total cost,261.57,207.72 (-20.6 %),227.68 (-13.0 %)
Regret vs perfect foresight (% of no-battery cost),—,0.00 (+0.0 %),19.96 (+7.6 %)
Energy bought (kWh),3410.8,2618.8 (-23.2 %),2934.8 (-14.0 %)
Energy sold (kWh),906.3,26.3 (-97.1 %),345.7 (-61.9 %)
