KPI,No battery,Perfect foresight,Forecast (Prophet)
Total cost,567.67,393.82 (-30.6 %),506.16 (-10.8 %)
Regret vs perfect foresight (% of no-battery cost),—,0.00 (+0.0 %),112.34 (+19.8 %)
Energy bought (kWh),3203.1,3025.0 (-5.6 %),3861.7 (+20.6 %)
Energy sold (kWh),493.6,117.5 (-76.2 %),951.5 (+92.8 %)
