KPI,No battery,Perfect foresight,Forecast (Prophet)
Total cost,158.16,96.81 (-38.8 %),150.53 (-4.8 %)
Regret vs perfect foresight (% of no-battery cost),—,0.00 (+0.0 %),53.72 (+34.0 %)
Energy bought (kWh),2471.0,1437.9 (-41.8 %),2348.9 (-4.9 %)
Energy sold (kWh),1453.2,306.4 (-78.9 %),1208.9 (-16.8 %)
