KPI,No battery,Perfect foresight,Forecast (Prophet)
Total cost,673.56,442.86 (-34.3 %),537.88 (-20.1 %)
Regret vs perfect foresight (% of no-battery cost),—,0.00 (+0.0 %),95.02 (+14.1 %)
Energy bought (kWh),3304.8,2763.7 (-16.4 %),3291.3 (-0.4 %)
Energy sold (kWh),723.4,61.0 (-91.6 %),595.9 (-17.6 %)
