KPI,No battery,Perfect foresight,Forecast (Prophet)
Total cost,1066.29,751.00 (-29.6 %),824.39 (-22.7 %)
Regret vs perfect foresight (% of no-battery cost),—,0.00 (+0.0 %),73.38 (+6.9 %)
Energy bought (kWh),5156.5,4713.7 (-8.6 %),5288.6 (+2.6 %)
Energy sold (kWh),603.5,8.6 (-98.6 %),574.7 (-4.8 %)
