KPI,No battery,Perfect foresight,Forecast (Prophet)
Total cost,466.98,425.28 (-8.9 %),440.94 (-5.6 %)
Regret vs perfect foresight (% of no-battery cost),—,0.00 (+0.0 %),15.65 (+3.4 %)
Energy bought (kWh),5853.9,5252.2 (-10.3 %),5508.9 (-5.9 %)
Energy sold (kWh),712.2,45.4 (-93.6 %),302.0 (-57.6 %)
