scenario,household_id,interval_minutes,pv_scale,scheme,paket_id,contracted_power_kw,total_consumption_kwh,total_generation_kwh,total_imported_kwh,total_exported_kwh,peak_import_kw,energy_eur,power_eur,fixed_eur,credit_eur,total_cost_eur,segment,has_pv,battery_kwh,dataset,Actual_Load_kWh,Actual_PV_kWh,Scenario,role,neto_eur,ddv_eur,bruto_eur,dobropis_eur,fiksni_del_eur,spremenljivi_del_eur,prevzeto_kwh,oddano_kwh,deljeno_kwh,neizrabljeno_kwh,lastna_raba_kwh
redni,Fluvius_020,15.0,1.0,si_dobava,GENI_REDNI,2.9760000000000004,1330.5979999998603,0.0,1330.5979999998603,0.0,4.464,210.67469920959732,3.142170444,131.56364839319372,0.0,345.38051804680197,Fluvius,False,0.0,Fluvius,1330.5980000000002,0.0,Redni,,,,,,,,,,,,
redni,Fluvius_PV_001,15.0,1.0,si_samooskrba,GENI_SAMO_REDNI,3.9546666666666668,1282.2404325455952,1490.6451938699026,1282.2404325455952,1490.6451938699026,3.9546666800000003,113.88747831749973,1.93e-08,170.06262390963656,80.34577594989989,283.95010224657733,Fluvius_PV,True,30.0,Fluvius_PV,2862.1769999999997,3229.29,Redni,,,,,,,,,,,,
redni,Fluvius_PV_002,15.0,1.0,si_samooskrba,GENI_SAMO_REDNI,2.6373333333333333,563.0299049652995,1592.9858476126856,563.0299049652995,1592.9858476126856,2.6373333332,-0.5070424915998081,0.0,118.24111371793423,85.86193718689987,117.73407122632614,Fluvius_PV,True,30.0,Fluvius_PV,1618.9650000000001,2751.774,Redni,,,,,,,,,,,,
redni,Fluvius_PV_003,15.0,1.0,si_samooskrba,GENI_SAMO_REDNI,1.8346666666666664,315.85652751169704,1841.1120359964805,315.85652751169704,1841.1120359964805,1.83466668,-51.35063578850027,4.3e-08,86.66565987102133,99.23593874079971,35.31502412560551,Fluvius_PV,True,30.0,Fluvius_PV,1121.004,2728.031,Redni,,,,,,,,,,,,
redni,Fluvius_PV_004,15.0,1.0,si_samooskrba,GENI_SAMO_REDNI,2.7439999999999998,768.308310000004,448.11917729678925,768.308310000004,448.11917729678925,2.744,92.89034595870031,0.0,122.43718866344828,24.153623656099985,215.3275346221298,Fluvius_PV,True,30.0,Fluvius_PV,1045.139,754.3109999999999,Redni,,,,,,,,,,,,
redni,Fluvius_PV_005,15.0,1.0,si_samooskrba,GENI_SAMO_REDNI,3.3946666666666663,780.0736650119906,2183.3402243887795,780.0736650119906,2183.3402243887795,3.3946666800000003,0.5664985368000364,2.3e-08,148.03323639533076,117.68203809360001,148.59973495518284,Fluvius_PV,True,30.0,Fluvius_PV,1397.6019999999999,2867.209,Redni,,,,,,,,,,,,
redni,Fluvius_PV_006,15.0,1.0,si_samooskrba,GENI_SAMO_REDNI,8.712,4975.584999999906,3921.4309999999914,4840.913999999888,3786.759999999995,13.068,525.7934618638118,6.390880020000001,357.2075067163407,204.1063639999996,889.3918486001032,Fluvius_PV,True,0.0,Fluvius_PV,4975.585,3921.431,Redni,,,,,,,,,,,,
redni,Fluvius_PV_007,15.0,1.0,si_samooskrba,GENI_SAMO_REDNI,2.2213333333333334,1770.473000000004,2656.0210000000143,1728.5180000000112,2614.066000000002,3.332,119.83476854540014,4.1474649580000005,101.87642786323832,140.89815740000003,225.85866136670145,Fluvius_PV,True,0.0,Fluvius_PV,1770.4730000000002,2656.021,Redni,,,,,,,,,,,,
redni,Fluvius_PV_008,15.0,1.0,si_samooskrba,GENI_SAMO_REDNI,3.7119999999999997,2163.7549999999483,942.8639999999835,2102.7109999999625,881.8199999999946,5.568,270.42635650959613,5.180920541999999,160.5165564443305,47.53009799999988,436.1238334960074,Fluvius_PV,True,0.0,Fluvius_PV,2163.755,942.864,Redni,,,,,,,,,,,,
redni,Fluvius_PV_009,15.0,1.0,si_samooskrba,GENI_SAMO_REDNI,3.048,1742.8869999999952,2375.4870000000024,1639.6209999999999,2272.2210000000023,4.572,125.57065783780017,4.971081612,134.39599848393775,122.47271190000036,264.937737933702,Fluvius_PV,True,0.0,Fluvius_PV,1742.887,2375.487,Redni,,,,,,,,,,,,
redni,Fluvius_PV_010,15.0,1.0,si_samooskrba,GENI_SAMO_REDNI,3.52,1689.6559999999774,2171.2830000000013,1628.5499999999868,2110.1770000000056,5.28,132.9919997598038,4.860521232000001,152.96362294606922,113.73854030000022,290.8161439378066,Fluvius_PV,True,0.0,Fluvius_PV,1689.656,2171.2830000000004,Redni,,,,,,,,,,,,
redni,Fluvius_PV_EV_001,15.0,1.0,si_samooskrba,GENI_SAMO_REDNI,8.613333333333333,4681.79400000004,3583.4660000000104,4547.273000000026,3448.945000000004,12.92,502.12031631738853,16.978934168,353.32613884693893,185.8981355000012,872.4253893322024,Fluvius_PV_EV,True,0.0,Fluvius_PV_EV,4681.794,3583.4660000000003,Redni,,,,,,,,,,,,
