Dataset,Household,Option,Paket_ID,Variant,Buyback,Cost_EUR,Energy_EUR,Import_EUR,Export_Credit_EUR,Fixed_EUR,Excess_Power_EUR,Import_kWh,Export_kWh,Register_Overlap_kWh,Agreed_Power,Per_Group
Fluvius_PV,1,BISOL_DINAMICNI,BISOL_DINAMICNI,-,False,691.1717640229,443.34893428820004,443.34893428820004,0.0,245.33210150869996,2.4907282260000003,2751.309,3118.4220000000005,110.86800000000001,prev1m_cyclic_unbounded,5
Fluvius_PV,1,BISOL_DINAMICNI_PLUS,BISOL_DINAMICNI_PLUS,-,False,715.0342955898001,443.34893428820004,443.34893428820004,0.0,269.1946330756,2.4907282260000003,2751.309,3118.4220000000005,110.86800000000001,prev1m_cyclic_unbounded,5
Fluvius_PV,1,BISOL_FIKSNI@2T,BISOL_FIKSNI,2T,False,702.8419284783,455.0190987436,455.0190987436,0.0,245.33210150869996,2.4907282260000003,2751.309,3118.4220000000005,110.86800000000001,prev1m_cyclic_unbounded,5
Fluvius_PV,1,BISOL_FIKSNI@1T,BISOL_FIKSNI,1T,False,710.7992198782999,462.9763901436,462.9763901436,0.0,245.33210150869996,2.4907282260000003,2751.309,3118.4220000000005,110.86800000000001,prev1m_cyclic_unbounded,5
Fluvius_PV,1,BISOL_FIKSNI99@2T,BISOL_FIKSNI99,2T,False,652.8039981383,404.9811684036,404.9811684036,0.0,245.33210150869996,2.4907282260000003,2751.309,3118.4220000000005,110.86800000000001,prev1m_cyclic_unbounded,5
Fluvius_PV,1,BISOL_FIKSNI99@1T,BISOL_FIKSNI99,1T,False,650.3804742383,402.55764450360005,402.55764450360005,0.0,245.33210150869996,2.4907282260000003,2751.309,3118.4220000000005,110.86800000000001,prev1m_cyclic_unbounded,5
Fluvius_PV,1,BISOL_FIKSNI_VEZAVA@2T,BISOL_FIKSNI_VEZAVA,2T,False,665.9193616982999,418.0965319636,418.0965319636,0.0,245.33210150869996,2.4907282260000003,2751.309,3118.4220000000005,110.86800000000001,prev1m_cyclic_unbounded,5
Fluvius_PV,1,BISOL_FIKSNI_VEZAVA@1T,BISOL_FIKSNI_VEZAVA,1T,False,670.5200561183,422.69722638359997,422.69722638359997,0.0,245.33210150869996,2.4907282260000003,2751.309,3118.4220000000005,110.86800000000001,prev1m_cyclic_unbounded,5
Fluvius_PV,1,ELEN_DINAMICNA,ELEN_DINAMICNA,-,False,688.0357066235999,432.4538945636,432.4538945636,0.0,253.091083834,2.4907282260000003,2751.309,3118.4220000000005,110.86800000000001,prev1m_cyclic_unbounded,5
Fluvius_PV,1,ELEN_FIKSNI@2T,ELEN_FIKSNI,2T,False,701.8359178457999,460.6009038656,460.6009038656,0.0,238.74428575419998,2.4907282260000003,2751.309,3118.4220000000005,110.86800000000001,prev1m_cyclic_unbounded,5
Fluvius_PV,1,ELEN_FIKSNI@1T,ELEN_FIKSNI,1T,False,710.5889383857999,469.35392440559997,469.35392440559997,0.0,238.74428575419998,2.4907282260000003,2751.309,3118.4220000000005,110.86800000000001,prev1m_cyclic_unbounded,5
Fluvius_PV,1,ELEN_ZANESLJIVA@2T,ELEN_ZANESLJIVA,2T,False,685.0529329458,443.8179189656,443.8179189656,0.0,238.74428575419998,2.4907282260000003,2751.309,3118.4220000000005,110.86800000000001,prev1m_cyclic_unbounded,5
Fluvius_PV,1,ELEN_ZANESLJIVA@1T,ELEN_ZANESLJIVA,1T,False,693.8059534857999,452.5709395056,452.5709395056,0.0,238.74428575419998,2.4907282260000003,2751.309,3118.4220000000005,110.86800000000001,prev1m_cyclic_unbounded,5
Fluvius_PV,1,GENI_AKTIVNI,GENI_AKTIVNI,-,False,714.5026797034999,476.04918802559996,476.04918802559996,0.0,235.96276345189997,2.4907282260000003,2751.309,3118.4220000000005,110.86800000000001,prev1m_cyclic_unbounded,5
Fluvius_PV,1,GENI_DINAMICNI,GENI_DINAMICNI,-,False,685.2541843118,432.4538945636,432.4538945636,0.0,250.3095615222,2.4907282260000003,2751.309,3118.4220000000005,110.86800000000001,prev1m_cyclic_unbounded,5
