Dataset,Household,Paket_ID,Cost_EUR,Energy_EUR,Fixed_EUR,Excess_Power_EUR,Import_kWh,Agreed_Power
Fluvius,3,PETROL_REDNI,679.1161460579,483.6980159188,189.5519277271,5.866202412,2863.609,prev1m_cyclic_unbounded
Fluvius,4,BISOL_DINAMICNI,602.7286351345001,444.19610497220003,154.83959990030004,3.692930262,2764.8630000000003,prev1m_cyclic_unbounded
Fluvius,4,BISOL_DINAMICNI_PLUS,626.5911667005001,444.19610497220003,178.70213146630005,3.692930262,2764.8630000000003,prev1m_cyclic_unbounded
Fluvius,4,BISOL_FIKSNI,626.8034118289002,468.2708816666001,154.83959990030004,3.692930262,2764.8630000000003,prev1m_cyclic_unbounded
Fluvius,4,BISOL_FIKSNI99,573.9975552489001,415.4650250866,154.83959990030004,3.692930262,2764.8630000000003,prev1m_cyclic_unbounded
Fluvius,4,BISOL_FIKSNI_VEZAVA,589.6989503689,431.1664202066,154.83959990030004,3.692930262,2764.8630000000003,prev1m_cyclic_unbounded
Fluvius,4,ELEN_DINAMICNA,594.2754447689999,427.9839322814,162.59858222559998,3.692930262,2764.8630000000003,prev1m_cyclic_unbounded
Fluvius,4,ELEN_FIKSNI,626.8334677059,474.88875300060005,148.2517844433,3.692930262,2764.8630000000003,prev1m_cyclic_unbounded
Fluvius,4,ELEN_ZANESLJIVA,609.9678034059,458.02308870059994,148.2517844433,3.692930262,2764.8630000000003,prev1m_cyclic_unbounded
Fluvius,4,GENI_AKTIVNI,589.6402142636999,440.47702186059996,145.47026214110002,3.692930262,2764.8630000000003,prev1m_cyclic_unbounded
Fluvius,4,GENI_DINAMICNI,591.4939233491999,427.9839322814,159.81706080579997,3.692930262,2764.8630000000003,prev1m_cyclic_unbounded
Fluvius,4,GENI_FIKSNI,607.1862811037,458.02308870059994,145.47026214110002,3.692930262,2764.8630000000003,prev1m_cyclic_unbounded
Fluvius,4,GENI_REDNI,590.3206168037001,441.1574244006,145.47026214110002,3.692930262,2764.8630000000003,prev1m_cyclic_unbounded
Fluvius,4,PETROL_AKCIJSKI,608.1466814823001,444.49029500360007,159.96345621670002,3.692930262,2764.8630000000003,prev1m_cyclic_unbounded
Fluvius,4,PETROL_FIKS2026,618.4749989623,454.8186124836,159.96345621670002,3.692930262,2764.8630000000003,prev1m_cyclic_unbounded
Fluvius,4,PETROL_REDNI,635.1317443623,471.47535788359994,159.96345621670002,3.692930262,2764.8630000000003,prev1m_cyclic_unbounded
Fluvius,5,BISOL_DINAMICNI,207.8971022526,119.8462331426,70.580157754,17.470711356000002,734.002,prev1m_cyclic_unbounded
Fluvius,5,BISOL_DINAMICNI_PLUS,231.75963411700002,119.8462331426,94.44268961840001,17.470711356000002,734.002,prev1m_cyclic_unbounded
Fluvius,5,BISOL_FIKSNI,211.1241278394,123.07325872939998,70.580157754,17.470711356000002,734.002,prev1m_cyclic_unbounded
Fluvius,5,BISOL_FIKSNI99,197.41471211939998,109.36384300939999,70.580157754,17.470711356000002,734.002,prev1m_cyclic_unbounded
