Dataset,Household,Option,Paket_ID,Variant,Cost_EUR,Energy_EUR,Fixed_EUR,Excess_Power_EUR,Import_kWh,Agreed_Power,Per_Group
Fluvius,2,ELEN_FIKSNI@2T,ELEN_FIKSNI,2T,620.1933783541,431.431176884,182.87856847009996,5.8836330000000014,2513.38,prev1m_cyclic_unbounded,5
Fluvius,2,ELEN_FIKSNI@1T,ELEN_FIKSNI,1T,618.5365451540999,429.774343684,182.87856847009996,5.8836330000000014,2513.38,prev1m_cyclic_unbounded,5
Fluvius,2,ELEN_ZANESLJIVA@2T,ELEN_ZANESLJIVA,2T,604.8617603541,416.09955888400003,182.87856847009996,5.8836330000000014,2513.38,prev1m_cyclic_unbounded,5
Fluvius,2,ELEN_ZANESLJIVA@1T,ELEN_ZANESLJIVA,1T,603.2049271541,414.442725684,182.87856847009996,5.8836330000000014,2513.38,prev1m_cyclic_unbounded,5
Fluvius,2,GENI_AKTIVNI,GENI_AKTIVNI,-,551.9470857407,365.966405104,180.09704763669998,5.8836330000000014,2513.38,prev1m_cyclic_unbounded,5
Fluvius,2,GENI_DINAMICNI,GENI_DINAMICNI,-,565.5749572944001,365.2474785874,194.443845707,5.8836330000000014,2513.38,prev1m_cyclic_unbounded,5
Fluvius,2,GENI_FIKSNI@2T,GENI_FIKSNI,2T,602.0802395207,416.09955888400003,180.09704763669998,5.8836330000000014,2513.38,prev1m_cyclic_unbounded,5
Fluvius,2,GENI_FIKSNI@1T,GENI_FIKSNI,1T,600.4234063207,414.442725684,180.09704763669998,5.8836330000000014,2513.38,prev1m_cyclic_unbounded,5
Fluvius,2,GENI_REDNI@2T,GENI_REDNI,2T,586.7486215207,400.767940884,180.09704763669998,5.8836330000000014,2513.38,prev1m_cyclic_unbounded,5
Fluvius,2,GENI_REDNI@1T,GENI_REDNI,1T,585.0917883207001,399.11110768400005,180.09704763669998,5.8836330000000014,2513.38,prev1m_cyclic_unbounded,5
Fluvius,2,PETROL_AKCIJSKI@2T,PETROL_AKCIJSKI,2T,604.3108326892001,403.836959464,194.5902402252,5.8836330000000014,2513.38,prev1m_cyclic_unbounded,5
